"","community","number_of_violent_crimes_per_1000_population","Average_School_Rating","Normalized_Average_SSL","Total_Park_Area_(m2)","Number_of_Hospitals","Number_of_Teen_Moms_/_1000_Female_Teenagers","Number_of_Infant_Mortality_/_1000_Live_Births","Percent_of_Hispanic_(%)","Percent_of_Black_(%)","Percent_of_White_(%)","Percent_of_Asian_(%)","Percent_of_Other_Race_(%)","Percent_of_Children_in_Poverty_(%)"
"25",25,"crimes (1.02e+03,1.56e+03]","school (3,3.26]","SSL (281,283]","park (7.61e+05,1.2e+06]","hospital 1","teenMoms (90.2,119]","infactMortality (13.2,14]","hispanic (11.8,23.6]","black (24,97.1]","white (5,13]","asian (0,1]","other 1","childPoverty (39.2,45.8]"
"26",26,"crimes (1.56e+03,2.76e+03]","school (3.86,4.05]","SSL (274,279]","park (4.96e+03,5.37e+04]","hospital 0","teenMoms (90.2,119]","infactMortality (14,22.6]","hispanic (0.915,4]","black (24,97.1]","white (-0.084,5]","asian (-0.049,0]","other 0","childPoverty (51.4,74.6]"
"27",27,"crimes (1.56e+03,2.76e+03]","school (3,3.26]","SSL (279,281]","park (5.92e+05,7.61e+05]","hospital 1","teenMoms (90.2,119]","infactMortality (10.3,11.4]","hispanic (4,11.8]","black (24,97.1]","white (-0.084,5]","asian (-0.049,0]","other 1","childPoverty (51.4,74.6]"
"28",28,"crimes (548,1.02e+03]","school (3.86,4.05]","SSL (266,274]","park (2.43e+05,2.88e+05]","hospital 4","teenMoms (22.8,47.8]","infactMortality (8.97,10.3]","hispanic (11.8,23.6]","black (24,97.1]","white (30.6,50.8]","asian (10,16.4]","other 2","childPoverty (30.5,39.2]"
"29",29,"crimes (1.56e+03,2.76e+03]","school (3,3.26]","SSL (281,283]","park (5.92e+05,7.61e+05]","hospital 2","teenMoms (90.2,119]","infactMortality (14,22.6]","hispanic (11.8,23.6]","black (24,97.1]","white (5,13]","asian (1,2]","other 1","childPoverty (51.4,74.6]"
"30",30,"crimes (451,548]","school (3.57,3.86]","SSL (285,288]","park (1.94e+05,2.43e+05]","hospital 1","teenMoms (90.2,119]","infactMortality (5.63,6.5]","hispanic (53.8,86.1]","black (-0.097,24]","white (5,13]","asian (1,2]","other 1","childPoverty (45.8,51.4]"
"31",31,"crimes (548,1.02e+03]","school (3.26,3.57]","SSL (285,288]","park (1.36e+05,1.64e+05]","hospital 0","teenMoms (77.4,90.2]","infactMortality (5.1,5.63]","hispanic (53.8,86.1]","black (-0.097,24]","white (5,13]","asian (16.4,49]","other 1","childPoverty (39.2,45.8]"
"32",32,"crimes (548,1.02e+03]","school (3.57,3.86]","SSL (274,279]","park (7.61e+05,1.2e+06]","hospital 0","teenMoms (2.14,22.8]","infactMortality (5.63,6.5]","hispanic (11.8,23.6]","black (-0.097,24]","white (30.6,50.8]","asian (10,16.4]","other 2","childPoverty (30.5,39.2]"
"33",33,"crimes (451,548]","school (3.26,3.57]","SSL (274,279]","park (1.2e+06,2.28e+06]","hospital 1","teenMoms (77.4,90.2]","infactMortality (4.6,5.1]","hispanic (11.8,23.6]","black (-0.097,24]","white (30.6,50.8]","asian (16.4,49]","other 2","childPoverty (27.5,30.5]"
"34",34,"crimes (548,1.02e+03]","school (2.14,3]","SSL (283,285]","park (5.37e+04,8.69e+04]","hospital 0","teenMoms (2.14,22.8]","infactMortality (1.48,3.73]","hispanic (0.915,4]","black (-0.097,24]","white (13,30.6]","asian (16.4,49]","other 3","childPoverty (19.4,27.5]"
"35",35,"crimes (1.02e+03,1.56e+03]","school (3.86,4.05]","SSL (288,292]","park (3.4e+05,5.92e+05]","hospital 0","teenMoms (47.8,60.4]","infactMortality (13.2,14]","hispanic (4,11.8]","black (24,97.1]","white (13,30.6]","asian (10,16.4]","other 3","childPoverty (39.2,45.8]"
"36",36,"crimes (548,1.02e+03]","school (2.14,3]","SSL (292,304]","park (3.4e+05,5.92e+05]","hospital 0","teenMoms (60.4,77.4]","infactMortality (8.1,8.97]","hispanic (4,11.8]","black (24,97.1]","white (5,13]","asian (3.6,5.2]","other 2","childPoverty (11.4,19.4]"
"37",37,"crimes (1.56e+03,2.76e+03]","school (3.86,4.05]","SSL (279,281]","park (4.96e+03,5.37e+04]","hospital 0","teenMoms (90.2,119]","infactMortality (14,22.6]","hispanic (23.6,53.8]","black (24,97.1]","white (13,30.6]","asian (-0.049,0]","other 0","childPoverty (45.8,51.4]"
"38",38,"crimes (1.56e+03,2.76e+03]","school (2.14,3]","SSL (274,279]","park (8.69e+04,1.36e+05]","hospital 1","teenMoms (77.4,90.2]","infactMortality (11.4,13.2]","hispanic (4,11.8]","black (24,97.1]","white (-0.084,5]","asian (0,1]","other 2","childPoverty (39.2,45.8]"
"39",39,"crimes (548,1.02e+03]","school (2.14,3]","SSL (285,288]","park (3.4e+05,5.92e+05]","hospital 0","teenMoms (47.8,60.4]","infactMortality (8.1,8.97]","hispanic (0.915,4]","black (24,97.1]","white (13,30.6]","asian (2,3]","other 3","childPoverty (27.5,30.5]"
"40",40,"crimes (1.56e+03,2.76e+03]","school (2.14,3]","SSL (281,283]","park (1.2e+06,2.28e+06]","hospital 0","teenMoms (90.2,119]","infactMortality (14,22.6]","hispanic (0.915,4]","black (24,97.1]","white (5,13]","asian (5.2,10]","other 2","childPoverty (45.8,51.4]"
"41",41,"crimes (313,451]","school (2.14,3]","SSL (266,274]","park (7.61e+05,1.2e+06]","hospital 1","teenMoms (2.14,22.8]","infactMortality (10.3,11.4]","hispanic (4,11.8]","black (24,97.1]","white (30.6,50.8]","asian (5.2,10]","other 4","childPoverty (27.5,30.5]"
"42",42,"crimes (1.56e+03,2.76e+03]","school (3,3.26]","SSL (285,288]","park (1.2e+06,2.28e+06]","hospital 1","teenMoms (60.4,77.4]","infactMortality (11.4,13.2]","hispanic (0.915,4]","black (24,97.1]","white (5,13]","asian (3.6,5.2]","other 2","childPoverty (45.8,51.4]"
"43",43,"crimes (1.56e+03,2.76e+03]","school (3.26,3.57]","SSL (281,283]","park (5.92e+05,7.61e+05]","hospital 1","teenMoms (77.4,90.2]","infactMortality (10.3,11.4]","hispanic (0.915,4]","black (24,97.1]","white (-0.084,5]","asian (-0.049,0]","other 2","childPoverty (51.4,74.6]"
"44",44,"crimes (1.56e+03,2.76e+03]","school (3.57,3.86]","SSL (281,283]","park (1.64e+05,1.94e+05]","hospital 0","teenMoms (60.4,77.4]","infactMortality (10.3,11.4]","hispanic (0.915,4]","black (24,97.1]","white (5,13]","asian (0,1]","other 1","childPoverty (45.8,51.4]"
"45",45,"crimes (1.02e+03,1.56e+03]","school (3.57,3.86]","SSL (292,304]","park (8.69e+04,1.36e+05]","hospital 0","teenMoms (47.8,60.4]","infactMortality (10.3,11.4]","hispanic (0.915,4]","black (24,97.1]","white (-0.084,5]","asian (-0.049,0]","other 1","childPoverty (27.5,30.5]"
"46",46,"crimes (1.02e+03,1.56e+03]","school (3.26,3.57]","SSL (285,288]","park (5.92e+05,7.61e+05]","hospital 1","teenMoms (77.4,90.2]","infactMortality (14,22.6]","hispanic (11.8,23.6]","black (24,97.1]","white (5,13]","asian (2,3]","other 1","childPoverty (39.2,45.8]"
"47",47,"crimes (1.02e+03,1.56e+03]","school (4.05,5]","SSL (292,304]","park (4.96e+03,5.37e+04]","hospital 0","teenMoms (90.2,119]","infactMortality (11.4,13.2]","hispanic (23.6,53.8]","black (24,97.1]","white (5,13]","asian (-0.049,0]","other 1","childPoverty (39.2,45.8]"
"48",48,"crimes (548,1.02e+03]","school (3.57,3.86]","SSL (279,281]","park (8.69e+04,1.36e+05]","hospital 1","teenMoms (47.8,60.4]","infactMortality (13.2,14]","hispanic (0.915,4]","black (24,97.1]","white (-0.084,5]","asian (-0.049,0]","other 1","childPoverty (19.4,27.5]"
"49",49,"crimes (1.02e+03,1.56e+03]","school (2.14,3]","SSL (283,285]","park (2.88e+05,3.4e+05]","hospital 1","teenMoms (77.4,90.2]","infactMortality (8.97,10.3]","hispanic (0.915,4]","black (24,97.1]","white (-0.084,5]","asian (-0.049,0]","other 1","childPoverty (39.2,45.8]"
"50",50,"crimes (1.02e+03,1.56e+03]","school (2.14,3]","SSL (292,304]","park (8.69e+04,1.36e+05]","hospital 0","teenMoms (77.4,90.2]","infactMortality (13.2,14]","hispanic (0.915,4]","black (24,97.1]","white (-0.084,5]","asian (0,1]","other 1","childPoverty (51.4,74.6]"
"51",51,"crimes (548,1.02e+03]","school (4.05,5]","SSL (285,288]","park (1.2e+06,2.28e+06]","hospital 0","teenMoms (60.4,77.4]","infactMortality (11.4,13.2]","hispanic (23.6,53.8]","black (24,97.1]","white (5,13]","asian (-0.049,0]","other 2","childPoverty (51.4,74.6]"
"52",52,"crimes (451,548]","school (3.57,3.86]","SSL (288,292]","park (5.92e+05,7.61e+05]","hospital 0","teenMoms (60.4,77.4]","infactMortality (1.48,3.73]","hispanic (53.8,86.1]","black (-0.097,24]","white (5,13]","asian (-0.049,0]","other 0","childPoverty (39.2,45.8]"
"53",53,"crimes (1.02e+03,1.56e+03]","school (3,3.26]","SSL (281,283]","park (1.94e+05,2.43e+05]","hospital 0","teenMoms (77.4,90.2]","infactMortality (11.4,13.2]","hispanic (11.8,23.6]","black (24,97.1]","white (-0.084,5]","asian (-0.049,0]","other 1","childPoverty (45.8,51.4]"
"54",54,"crimes (1.56e+03,2.76e+03]","school (2.14,3]","SSL (292,304]","park (8.69e+04,1.36e+05]","hospital 0","teenMoms (60.4,77.4]","infactMortality (8.1,8.97]","hispanic (0.915,4]","black (24,97.1]","white (-0.084,5]","asian (-0.049,0]","other 0","childPoverty (51.4,74.6]"
"55",55,"crimes (313,451]","school (4.05,5]","SSL (274,279]","park (7.61e+05,1.2e+06]","hospital 0","teenMoms (22.8,47.8]","infactMortality (8.1,8.97]","hispanic (23.6,53.8]","black (24,97.1]","white (13,30.6]","asian (-0.049,0]","other 0","childPoverty (51.4,74.6]"
"56",56,"crimes (313,451]","school (3,3.26]","SSL (274,279]","park (1.94e+05,2.43e+05]","hospital 0","teenMoms (22.8,47.8]","infactMortality (3.73,4.6]","hispanic (53.8,86.1]","black (-0.097,24]","white (30.6,50.8]","asian (0,1]","other 1","childPoverty (11.4,19.4]"
"57",57,"crimes (451,548]","school (4.05,5]","SSL (292,304]","park (8.69e+04,1.36e+05]","hospital 0","teenMoms (60.4,77.4]","infactMortality (5.1,5.63]","hispanic (53.8,86.1]","black (-0.097,24]","white (30.6,50.8]","asian (1,2]","other 0","childPoverty (19.4,27.5]"
"58",58,"crimes (451,548]","school (2.14,3]","SSL (292,304]","park (4.96e+03,5.37e+04]","hospital 0","teenMoms (77.4,90.2]","infactMortality (5.63,6.5]","hispanic (53.8,86.1]","black (-0.097,24]","white (5,13]","asian (5.2,10]","other 1","childPoverty (30.5,39.2]"
"59",59,"crimes (451,548]","school (4.05,5]","SSL (281,283]","park (2.88e+05,3.4e+05]","hospital 0","teenMoms (47.8,60.4]","infactMortality (6.5,8.1]","hispanic (53.8,86.1]","black (-0.097,24]","white (13,30.6]","asian (16.4,49]","other 2","childPoverty (30.5,39.2]"
"60",60,"crimes (313,451]","school (3.57,3.86]","SSL (281,283]","park (1.64e+05,1.94e+05]","hospital 0","teenMoms (22.8,47.8]","infactMortality (6.5,8.1]","hispanic (23.6,53.8]","black (-0.097,24]","white (13,30.6]","asian (16.4,49]","other 2","childPoverty (27.5,30.5]"
"61",61,"crimes (1.02e+03,1.56e+03]","school (4.05,5]","SSL (283,285]","park (3.4e+05,5.92e+05]","hospital 0","teenMoms (90.2,119]","infactMortality (6.5,8.1]","hispanic (53.8,86.1]","black (-0.097,24]","white (5,13]","asian (2,3]","other 1","childPoverty (51.4,74.6]"
"62",62,"crimes (313,451]","school (3.26,3.57]","SSL (292,304]","park (5.37e+04,8.69e+04]","hospital 0","teenMoms (47.8,60.4]","infactMortality (6.5,8.1]","hispanic (53.8,86.1]","black (-0.097,24]","white (13,30.6]","asian (1,2]","other 0","childPoverty (11.4,19.4]"
"63",63,"crimes (451,548]","school (3.26,3.57]","SSL (292,304]","park (1.64e+05,1.94e+05]","hospital 0","teenMoms (77.4,90.2]","infactMortality (5.1,5.63]","hispanic (53.8,86.1]","black (-0.097,24]","white (-0.084,5]","asian (-0.049,0]","other 0","childPoverty (30.5,39.2]"
"64",64,"crimes (105,313]","school (4.05,5]","SSL (279,281]","park (1.36e+05,1.64e+05]","hospital 0","teenMoms (22.8,47.8]","infactMortality (6.5,8.1]","hispanic (53.8,86.1]","black (-0.097,24]","white (30.6,50.8]","asian (0,1]","other 1","childPoverty (19.4,27.5]"
"65",65,"crimes (313,451]","school (3.57,3.86]","SSL (292,304]","park (1.36e+05,1.64e+05]","hospital 0","teenMoms (47.8,60.4]","infactMortality (8.1,8.97]","hispanic (53.8,86.1]","black (-0.097,24]","white (13,30.6]","asian (0,1]","other 0","childPoverty (19.4,27.5]"
"66",66,"crimes (1.02e+03,1.56e+03]","school (3.86,4.05]","SSL (285,288]","park (1.2e+06,2.28e+06]","hospital 1","teenMoms (77.4,90.2]","infactMortality (10.3,11.4]","hispanic (23.6,53.8]","black (24,97.1]","white (-0.084,5]","asian (0,1]","other 2","childPoverty (39.2,45.8]"
"67",67,"crimes (1.56e+03,2.76e+03]","school (3.26,3.57]","SSL (283,285]","park (2.88e+05,3.4e+05]","hospital 0","teenMoms (90.2,119]","infactMortality (13.2,14]","hispanic (11.8,23.6]","black (24,97.1]","white (-0.084,5]","asian (-0.049,0]","other 1","childPoverty (45.8,51.4]"
"68",68,"crimes (1.56e+03,2.76e+03]","school (4.05,5]","SSL (285,288]","park (1.64e+05,1.94e+05]","hospital 1","teenMoms (90.2,119]","infactMortality (13.2,14]","hispanic (0.915,4]","black (24,97.1]","white (-0.084,5]","asian (-0.049,0]","other 2","childPoverty (51.4,74.6]"
"69",69,"crimes (1.56e+03,2.76e+03]","school (3.57,3.86]","SSL (285,288]","park (1.36e+05,1.64e+05]","hospital 0","teenMoms (90.2,119]","infactMortality (14,22.6]","hispanic (0.915,4]","black (24,97.1]","white (-0.084,5]","asian (-0.049,0]","other 1","childPoverty (45.8,51.4]"
"70",70,"crimes (451,548]","school (3.57,3.86]","SSL (288,292]","park (2.43e+05,2.88e+05]","hospital 0","teenMoms (22.8,47.8]","infactMortality (8.97,10.3]","hispanic (23.6,53.8]","black (24,97.1]","white (5,13]","asian (0,1]","other 2","childPoverty (11.4,19.4]"
"71",71,"crimes (1.02e+03,1.56e+03]","school (4.05,5]","SSL (283,285]","park (2.43e+05,2.88e+05]","hospital 0","teenMoms (77.4,90.2]","infactMortality (14,22.6]","hispanic (0.915,4]","black (24,97.1]","white (-0.084,5]","asian (-0.049,0]","other 1","childPoverty (39.2,45.8]"
"72",72,"crimes (105,313]","school (2.14,3]","SSL (274,279]","park (1.64e+05,1.94e+05]","hospital 0","teenMoms (2.14,22.8]","infactMortality (8.97,10.3]","hispanic (4,11.8]","black (24,97.1]","white (50.8,84.1]","asian (-0.049,0]","other 2","childPoverty (2.63,11.4]"
"73",73,"crimes (1.02e+03,1.56e+03]","school (3.26,3.57]","SSL (288,292]","park (2.43e+05,2.88e+05]","hospital 0","teenMoms (60.4,77.4]","infactMortality (10.3,11.4]","hispanic (0.915,4]","black (24,97.1]","white (-0.084,5]","asian (-0.049,0]","other 2","childPoverty (11.4,19.4]"
"74",74,"crimes (105,313]","school (2.14,3]","SSL (285,288]","park (1.94e+05,2.43e+05]","hospital 0","teenMoms (2.14,22.8]","infactMortality (1.48,3.73]","hispanic (4,11.8]","black (-0.097,24]","white (50.8,84.1]","asian (1,2]","other 1","childPoverty (2.63,11.4]"
"75",75,"crimes (548,1.02e+03]","school (3,3.26]","SSL (288,292]","park (2.88e+05,3.4e+05]","hospital 0","teenMoms (47.8,60.4]","infactMortality (11.4,13.2]","hispanic (4,11.8]","black (24,97.1]","white (30.6,50.8]","asian (0,1]","other 2","childPoverty (11.4,19.4]"
"76",76,"crimes (313,451]","school (2.14,3]","SSL (266,274]","park (4.96e+03,5.37e+04]","hospital 0","teenMoms (22.8,47.8]","infactMortality (1.48,3.73]","hispanic (0.915,4]","black (24,97.1]","white (30.6,50.8]","asian (3.6,5.2]","other 5","childPoverty (30.5,39.2]"
"77",77,"crimes (313,451]","school (3.57,3.86]","SSL (266,274]","park (2.88e+05,3.4e+05]","hospital 1","teenMoms (22.8,47.8]","infactMortality (6.5,8.1]","hispanic (11.8,23.6]","black (-0.097,24]","white (50.8,84.1]","asian (10,16.4]","other 3","childPoverty (27.5,30.5]"
